data,venda,estoque,preco
10-08-2015,90,296,1.48
11-08-2015,3,1157,1.18
12-08-2015,5,1152,1.18
13-08-2015,1,2015,1.19
14-08-2015,65,2046,1.18
15-08-2015,235,1811,1.17
16-08-2015,76,1735,1.18
17-08-2015,2,1733,1.19
18-08-2015,101,1632,1.18
19-08-2015,162,1470,1.17
20-08-2015,25,1446,1.17
21-08-2015,4,1442,1.16
22-08-2015,1,1441,1.19
23-08-2015,75,1366,1.17
24-08-2015,32,1334,1.18
25-08-2015,76,1258,1.18
26-08-2015,6,1252,1.17
27-08-2015,65,1285,1.18
28-08-2015,145,1140,1.17
29-08-2015,78,1062,1.17
30-08-2015,6,1055,1.18
31-08-2015,0,1151,1.19
01-09-2015,126,1217,1.18
02-09-2015,240,1073,1.17
03-09-2015,67,1006,1.68
04-09-2015,140,863,1.68
05-09-2015,208,655,1.68
06-09-2015,76,579,1.68
07-09-2015,240,339,1.68
08-09-2015,52,575,1.01
09-09-2015,111,464,0.94
10-09-2015,176,288,0.97
11-09-2015,84,300,1.01
12-09-2015,171,129,1
13-09-2015,102,27,0.99
14-09-2015,69,0,0.97
15-09-2015,77,0,0.93
16-09-2015,174,0,0.97
17-09-2015,69,0,1.68
18-09-2015,52,930,1.68
19-09-2015,42,1080,1.68
20-09-2015,1,1079,1.69
21-09-2015,62,1016,1.68
22-09-2015,88,928,1.68
23-09-2015,60,1348,1.68
24-09-2015,2,1442,1.66
25-09-2015,3,1631,1.69
26-09-2015,9,1622,1.76
27-09-2015,142,1480,1.78
28-09-2015,90,1580,1.78
29-09-2015,20,1560,1.78
30-09-2015,37,1523,1.78
01-10-2015,86,1437,1.78
02-10-2015,166,1367,1.78
03-10-2015,391,976,1.48
04-10-2015,56,919,1.47
05-10-2015,64,951,1.47
06-10-2015,35,916,1.48
07-10-2015,40,875,1.47
08-10-2015,21,1526,1.48
09-10-2015,42,1484,1.48
10-10-2015,95,1389,1.48
11-10-2015,85,1304,1.48
12-10-2015,140,1356,1.47
13-10-2015,80,1276,1.48
14-10-2015,91,1185,1.48
15-10-2015,65,1120,1.48
16-10-2015,166,1146,1.48
17-10-2015,137,1297,1.48
18-10-2015,174,1123,1.48
19-10-2015,120,1291,1.48
20-10-2015,93,1198,1.78
21-10-2015,100,1096,1.78
22-10-2015,137,1055,1.27
23-10-2015,241,1006,1.27
24-10-2015,113,893,1.27
25-10-2015,257,636,1.28
26-10-2015,166,474,1.28
27-10-2015,162,312,1.28
28-10-2015,247,1121,1.28
29-10-2015,70,1435,1.78
30-10-2015,139,1296,1.35
31-10-2015,195,1293,1.34
01-11-2015,206,1087,1.34
02-11-2015,268,819,1.35
03-11-2015,59,760,1.35
04-11-2015,99,1237,1.34
05-11-2015,63,1366,1.75
06-11-2015,77,1577,1.76
07-11-2015,232,1345,2.18
08-11-2015,157,1188,2.18
09-11-2015,107,1081,2.19
10-11-2015,57,1023,2.18
11-11-2015,95,930,2.18
12-11-2015,86,844,2.19
13-11-2015,102,742,2.19
14-11-2015,184,846,1.79
15-11-2015,138,708,1.79
16-11-2015,106,698,2.19
17-11-2015,89,609,2.19
18-11-2015,107,502,2.19
19-11-2015,78,424,2.19
20-11-2015,185,238,2.19
21-11-2015,151,87,2.19
22-11-2015,97,0,2.19
23-11-2015,76,0,2.19
24-11-2015,140,0,2.19
25-11-2015,137,0,2.67
26-11-2015,84,0,2.69
27-11-2015,0,0,2.69
28-11-2015,7,0,2.69
29-11-2015,5,0,2.69
30-11-2015,22,0,2.69
01-12-2015,36,0,2.29
02-12-2015,36,1655,2.29
03-12-2015,38,2001,2.29
04-12-2015,95,1905,2.29
05-12-2015,108,1893,2.25
06-12-2015,70,1823,2.29
07-12-2015,78,1745,2.29
08-12-2015,77,1668,2.29
09-12-2015,76,1880,2.29
10-12-2015,59,1821,2.29
11-12-2015,42,1779,2.29
12-12-2015,142,1637,2.29
13-12-2015,116,1521,2.29
14-12-2015,57,1848,2.29
15-12-2015,167,1681,2.29
16-12-2015,154,1527,2.29
17-12-2015,139,1964,1.39
18-12-2015,192,1772,1.39
19-12-2015,295,2533,1.39
20-12-2015,311,2222,1.39
21-12-2015,251,1971,1.39
22-12-2015,377,1594,1.39
23-12-2015,410,1184,1.39
24-12-2015,161,1023,1.39
25-12-2015,0,1023,1.39
26-12-2015,212,811,1.39
27-12-2015,106,705,1.39
28-12-2015,100,604,1.39
29-12-2015,9,595,1.39
30-12-2015,0,595,1.39
31-12-2015,0,595,1.39
01-01-2016,0,595,1.39
02-01-2016,3,592,1.39
03-01-2016,0,592,2.29
04-01-2016,0,592,1.46
05-01-2016,3,589,1.46
06-01-2016,3,586,1.46
07-01-2016,0,586,1.46
08-01-2016,2,584,1.46
09-01-2016,0,584,0
10-01-2016,3,581,1.46
11-01-2016,0,581,1.46
12-01-2016,103,478,1.46
13-01-2016,164,314,1.46
14-01-2016,118,196,1.46
15-01-2016,65,131,1.46
16-01-2016,24,107,1.46
17-01-2016,0,107,0
18-01-2016,1,106,1.46
19-01-2016,0,106,1.46
20-01-2016,1,105,1.46
21-01-2016,60,3213,1.46
22-01-2016,103,3110,1.35
23-01-2016,263,2847,1.39
24-01-2016,189,2658,1.39
25-01-2016,197,2461,1.39
26-01-2016,105,2356,1.46
27-01-2016,129,2227,1.46
28-01-2016,144,2083,1.46
29-01-2016,173,1910,1.79
30-01-2016,293,1617,1.79
31-01-2016,219,1398,1.79
01-02-2016,131,1267,1.79
02-02-2016,184,1083,1.79
03-02-2016,266,817,1.79
04-02-2016,98,815,2.18
05-02-2016,67,1420,2.29
06-02-2016,85,1335,2.29
07-02-2016,78,1257,2.29
08-02-2016,71,1185,2.19
09-02-2016,113,1072,2.19
10-02-2016,138,1894,2.19
11-02-2016,98,1796,2.19
12-02-2016,96,1700,2.19
13-02-2016,190,1510,2.19
14-02-2016,105,1510,2.19
15-02-2016,25,1510,2.19
16-02-2016,47,1909,2.19
17-02-2016,63,1845,2.19
18-02-2016,39,1806,2.19
19-02-2016,35,1771,2.19
20-02-2016,77,1982,2.19
21-02-2016,60,1922,2.19
22-02-2016,52,1870,2.19
23-02-2016,51,1819,2.19
24-02-2016,37,1782,2.19
25-02-2016,42,1740,2.19
26-02-2016,89,1651,2.19
27-02-2016,217,1367,2.19
28-02-2016,197,1170,2.19
29-02-2016,81,1089,2.19
01-03-2016,58,1607,2.19
02-03-2016,120,1487,2.19
03-03-2016,64,1423,2.19
04-03-2016,64,1743,2.59
05-03-2016,76,1667,2.59
06-03-2016,86,1581,2.59
07-03-2016,98,1867,2.59
08-03-2016,53,1814,2.59
09-03-2016,38,1774,2.59
10-03-2016,46,1728,2.19
11-03-2016,45,1779,2.19
12-03-2016,67,1712,2.19
13-03-2016,52,1660,2.19
14-03-2016,24,1825,2.19
15-03-2016,51,1774,2.19
16-03-2016,127,1647,2.19
17-03-2016,75,1572,2.19
18-03-2016,62,1510,2.19
19-03-2016,128,1478,1.99
20-03-2016,138,1340,1.99
21-03-2016,74,1554,1.99
22-03-2016,73,1480,2.59
23-03-2016,100,1380,2.59
24-03-2016,71,1501,2.59
25-03-2016,99,1402,2.59
26-03-2016,102,1396,2.59
27-03-2016,57,1339,2.59
28-03-2016,23,1507,2.59
29-03-2016,35,1760,2.59
30-03-2016,59,1701,2.59
31-03-2016,41,1660,2.59
01-04-2016,68,1592,2.59
02-04-2016,84,1508,2.59
03-04-2016,42,1466,2.59
04-04-2016,95,1659,2.59
05-04-2016,85,1574,2.59
06-04-2016,102,1472,2.59
07-04-2016,111,1457,2.59
08-04-2016,113,1344,2.59
09-04-2016,208,1136,2.59
10-04-2016,148,988,2.59
11-04-2016,123,2017,2.59
12-04-2016,62,1955,2.59
13-04-2016,129,1825,2.59
14-04-2016,102,1723,2.59
15-04-2016,110,3917,2.59
16-04-2016,202,3715,2.59
17-04-2016,144,3571,2.59
18-04-2016,84,3487,2.59
19-04-2016,127,3360,1.89
20-04-2016,181,3179,1.89
21-04-2016,268,2911,1.89
22-04-2016,278,2636,1.89
23-04-2016,234,2402,1.89
24-04-2016,133,2269,1.89
25-04-2016,91,2178,1.89
26-04-2016,83,2095,2.59
27-04-2016,139,1956,2.59
28-04-2016,113,1843,2.59
29-04-2016,141,1702,2.59
30-04-2016,228,1474,2.59
01-05-2016,163,1311,2.59
02-05-2016,0,1605,2.59
03-05-2016,125,1768,2.57
04-05-2016,180,1876,2.59
05-05-2016,222,1846,1.88
06-05-2016,243,1602,1.89
07-05-2016,408,1196,1.89
08-05-2016,181,1014,1.89
09-05-2016,176,838,1.88
10-05-2016,178,660,1.89
11-05-2016,310,348,1.38
